trial_id,params,mean_selection_score,std_selection_score,mean_val_price_mae,mean_test_price_mae
41,"{""batch_size"": 16, ""dropout"": 0.26742752566804606, ""hidden_size"": 128, ""huber_delta"": 1.2, ""learning_rate"": 0.0015191958420210621, ""loss_type"": ""mse"", ""model_type"": ""lstm"", ""num_layers"": 3, ""weight_decay"": 7.423022326403772e-06}",3.577328324317932,1.4878149258664342,3.577328324317932,3.573919713497162
27,"{""batch_size"": 24, ""dropout"": 0.25691980632990796, ""hidden_size"": 80, ""huber_delta"": 1.0, ""learning_rate"": 0.0014192527956945335, ""loss_type"": ""huber"", ""model_type"": ""gru"", ""num_layers"": 2, ""weight_decay"": 4.0100681174260036e-05}",3.5990321040153503,1.4847896862296621,3.5990321040153503,3.4365528225898743
60,"{""batch_size"": 16, ""dropout"": 0.17726856694918006, ""hidden_size"": 128, ""huber_delta"": 1.2, ""learning_rate"": 0.00048438693494322105, ""loss_type"": ""huber"", ""model_type"": ""gru"", ""num_layers"": 2, ""weight_decay"": 2.4661727372841317e-05}",3.5998092889785767,1.269647581481968,3.5998092889785767,3.579655945301056
67,"{""batch_size"": 24, ""dropout"": 0.23270253808657218, ""hidden_size"": 128, ""huber_delta"": 0.8, ""learning_rate"": 0.0010913339099485816, ""loss_type"": ""huber"", ""model_type"": ""gru"", ""num_layers"": 2, ""weight_decay"": 4.543702209626402e-05}",3.5998741388320923,1.5553850002635823,3.5998741388320923,3.2352765798568726
45,"{""batch_size"": 32, ""dropout"": 0.10833768057298693, ""hidden_size"": 128, ""huber_delta"": 1.5, ""learning_rate"": 0.0010829365530267583, ""loss_type"": ""huber"", ""model_type"": ""lstm"", ""num_layers"": 1, ""weight_decay"": 2.9342430742195846e-05}",3.603278160095215,1.2285821334285725,3.603278160095215,3.717489242553711
87,"{""batch_size"": 24, ""dropout"": 0.0781285283490297, ""hidden_size"": 96, ""huber_delta"": 1.2, ""learning_rate"": 0.0005460041742667526, ""loss_type"": ""mse"", ""model_type"": ""gru"", ""num_layers"": 2, ""weight_decay"": 2.0077449738081934e-05}",3.6112186312675476,1.1737649281488618,3.6112186312675476,3.5886071920394897
66,"{""batch_size"": 32, ""dropout"": 0.12360349644104003, ""hidden_size"": 128, ""huber_delta"": 1.5, ""learning_rate"": 0.0005408536281228397, ""loss_type"": ""huber"", ""model_type"": ""gru"", ""num_layers"": 1, ""weight_decay"": 0.0002040796625920574}",3.616733431816101,1.4220964925703288,3.616733431816101,3.584087371826172
30,"{""batch_size"": 32, ""dropout"": 0.14525138260221537, ""hidden_size"": 96, ""huber_delta"": 1.5, ""learning_rate"": 0.0014895482187939997, ""loss_type"": ""mse"", ""model_type"": ""gru"", ""num_layers"": 3, ""weight_decay"": 0.0002101368941740564}",3.6204558610916138,1.4677662701136787,3.6204558610916138,3.395321011543274
46,"{""batch_size"": 24, ""dropout"": 0.21310841667528047, ""hidden_size"": 96, ""huber_delta"": 0.8, ""learning_rate"": 0.0005104466973498726, ""loss_type"": ""huber"", ""model_type"": ""gru"", ""num_layers"": 1, ""weight_decay"": 4.039746846379306e-05}",3.62114554643631,1.1751239448702713,3.62114554643631,3.6953340768814087
35,"{""batch_size"": 16, ""dropout"": 0.1941285320217412, ""hidden_size"": 96, ""huber_delta"": 1.2, ""learning_rate"": 0.0011131346452349137, ""loss_type"": ""mse"", ""model_type"": ""gru"", ""num_layers"": 3, ""weight_decay"": 2.258974717232386e-05}",3.6303306818008423,1.3673287638936853,3.6303306818008423,3.6127447485923767
